simDay,A,D,E,I1,I2,R1,R2,S
69,0.012885675303909957,9.066022671498143e-05,0.0011924863782706108,0.0010543374908366704,0.000989360857620875,0.00874804909112037,0.008615839716418754,0.9664235909351075
70,0.013504733830514565,9.720793043943518e-05,0.0012396170401518867,0.0011071340579678266,0.001045179378349636,0.009203478494723695,0.009162712347166578,0.9646399369206862
71,0.014142606048631828,0.00010409001328680326,0.001288035431739289,0.001160467820653256,0.001102815201570556,0.00967919080717554,0.009736009381862332,0.9627867852950801
72,0.014799621836548257,0.00011131616809255981,0.0013371962178403206,0.0012144199681265377,0.0011621772283621366,0.010175307240496497,0.010336686069613663,0.9608632752709197
73,0.015475879234596623,0.00011889533305875937,0.0013873691589586282,0.001269093740370809,0.0012231319731816435,0.01069191330594692,0.010965686813412503,0.9588680304404733
74,0.01617147875748158,0.00012683476879897737,0.001438765983980915,0.0013245459256436907,0.0012856349979267717,0.011229152906470452,0.011623931776812688,0.9567996548828844
75,0.016886685393237948,0.0001351445381805549,0.0014903635781432078,0.0013808242882841076,0.001349631093913862,0.01178716718437709,0.012312350925763037,0.9546578329980999
76,0.017621540269450984,0.0001438326387752199,0.0015419722149453503,0.0014379765270317384,0.0014150666798153776,0.01236607695760508,0.013031853052844298,0.952441681659532
77,0.018374853061159577,0.0001529067487654502,0.0015941466122776963,0.0014957901423011757,0.0014819363922121186,0.012966050543847083,0.013783359567226854,0.9501509569322097
78,0.01914608445620527,0.0001623755128620159,0.0016464460479871424,0.001554188838168679,0.0015501894338137221,0.013587157035711105,0.014567808499605657,0.9477857501756463
79,0.019934569731237216,0.0001722470806185901,0.0016984955082655138,0.0016130905207867796,0.0016197623566311763,0.014229411983281395,0.015386132925099636,0.9453462898940794
80,0.020739074544415807,0.00018252959450635773,0.0017501090863066122,0.0016723102196449016,0.0016905868017227594,0.01489279109996172,0.016239262126361013,0.9428333365270807
81,0.021558201636732558,0.0001932308438319052,0.0018010276760242645,0.001731656183601746,0.0017625643791662916,0.015577180918757544,0.017128109192723284,0.9402480291691627
82,0.022390234889666603,0.00020435789353230065,0.0018513519644263114,0.001790919336699942,0.0018355637895865959,0.016282365618667267,0.0180535598171882,0.9375916466902325
83,0.023234133434035464,0.00021591712636677952,0.0019002188501098056,0.0018500067662995563,0.0019094520105061709,0.01700804826144813,0.019016471771079107,0.9348657517801554
84,0.024087535187079324,0.00022791451937674462,0.001947748716256081,0.0019085991838848704,0.0019840887098692703,0.017753857331211563,0.02001767796985873,0.9320725783824629
85,0.02494858818450102,0.0002403543209801343,0.001994238016890649,0.0019665489220176582,0.0020592806557467374,0.018519265380474045,0.02105794678530451,0.9292137777340851
86,0.025815322830885452,0.0002532383125051803,0.0020400518078909457,0.002023720512868215,0.0021348163911128894,0.019303617269294887,0.022137977864783897,0.926291255010658
87,0.026686990026888704,0.0002665715304638827,0.0020824718513962875,0.002080036366089365,0.0022105561362087828,0.02010628164099174,0.02325849002894782,0.9233086024190129
88,0.027560200887334674,0.00028035537135278943,0.002122022556825998,0.0021350469845896358,0.0022863259684876057,0.020926511406214977,0.024420124881198536,0.920269411943995
89,0.028431424935055998,0.00029458808021916294,0.002160848000289369,0.0021884266711804825,0.002361869444048478,0.021763326843460794,0.025623402967619568,0.9171761130581255
90,0.029299419448711648,0.00030927087418396,0.002195872723499691,0.0022400663132014407,0.002436959212705747,0.02261572223206851,0.02686886062143436,0.9140338285741942
91,0.030160576884930505,0.0003244007222815466,0.002228133646986425,0.0022895904197712865,0.0025113318229199343,0.02348251919233724,0.02815690452376249,0.9108465427870107
92,0.03101173027276467,0.0003399720178495218,0.0022586770503458475,0.002336754171522189,0.00258469654980826,0.02436235290055353,0.029487809938973954,0.9076180070981821
93,0.03185240964520918,0.00035597810050129886,0.002285819928854923,0.0023817711536709145,0.0026567595923706992,0.02525376294565315,0.030861758478599566,0.90435174015514
94,0.032679566326775586,0.000372412678779967,0.002308517166664429,0.0024242452300550135,0.002727357209001114,0.026155423595493905,0.03227892556324066,0.9010535522299888
95,0.0334895848457518,0.00038926688763748384,0.0023274006385645245,0.002463806583649827,0.0027962236526387955,0.02706580357607383,0.033739358022758764,0.897728555792925
96,0.03427767814812612,0.0004065276378830746,0.0023463606895647885,0.0025000094087499966,0.0028630684173286567,0.027983154408825626,0.035242880785234854,0.8943803205042866
97,0.03504608340697969,0.0004241842204309904,0.0023574423272020276,0.0025333948924132904,0.0029276081107794316,0.028905759481220962,0.03678939152038451,0.8910161360405887
98,0.03578798562951214,0.0004422234300138321,0.0023662627924348166,0.0025630917152670045,0.002989622529498576,0.02983188517985418,0.03837856713714332,0.8876403615862757
99,0.03650121191732828,0.00046062850878860487,0.0023734297360970677,0.0025890890572763184,0.0030488118840505517,0.030759561403281184,0.04000993022625402,0.8842573372669238
100,0.03718673924847551,0.0004793748376838227,0.0023744327208725,0.0026118970732628075,0.003104867127289592,0.031686696411120194,0.04168286696886186,0.8808731256124331
101,0.037838807683318224,0.0004984550281157035,0.002374464900289675,0.002630692576163244,0.0031576719343640743,0.0326116335455114,0.0433967797887149,0.8774914945435228
102,0.03845884250433326,0.0005178384128675461,0.002367358024110979,0.0026459881290222123,0.0032069898719092457,0.033532305517385036,0.04515087771737701,0.874119799822994
103,0.03904233203131957,0.0005375077247046728,0.0023571283671661018,0.0026572916639279634,0.003252629628959751,0.03444681539131928,0.04694425959708762,0.8707620355955143
104,0.03958538963874632,0.0005574435172392649,0.002348505025750936,0.002664275670890581,0.0032944038721984398,0.03535317218131541,0.04877581694703016,0.8674209931468287
105,0.04009237352245251,0.0005776085258851645,0.0023317647241097644,0.0026679244014427015,0.0033320871522914807,0.036249277634692406,0.05064444137096031,0.8641045226681653
106,0.04055663317464789,0.0005979915438366882,0.0023164191103786282,0.0026673568459603596,0.0033656038166625687,0.03713339908206708,0.05254885677222734,0.860813739654219
107,0.04098273672340113,0.0006185546653820113,0.002291984196162531,0.0026634606891056643,0.0033948416373988564,0.038003690176369696,0.05448781981777819,0.8575569120944017
108,0.04136419206155319,0.0006392803757541411,0.002266729246114801,0.002655362882182971,0.003419729651528763,0.03885847130377221,0.056459891493500725,0.8543363429855926
109,0.041700672481925716,0.0006601396161427876,0.002240916016721761,0.002643282739829574,0.003440131854974245,0.03969586611609457,0.05846348567940818,0.8511555054949029
