simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
46,114410.66514603686,117.94208584471045,19629.55080767542,9946.307884197433,7898.382765348062,43825.52018755481,24134.92710365106,57125117.48583952
47,132140.78320928413,134.5413739843053,22659.326963993906,11492.688854965725,9139.681381684859,50334.42102287754,27246.083033734438,57091933.2559793
48,152598.08563911298,153.8806605208387,26149.251647549114,13274.564000639108,10571.192251711338,57871.70041278499,30821.59209988709,57053640.515107624
49,176194.54591600897,176.383613490049,30167.0198021289,15327.497655668189,12221.716278908032,66593.70987166565,34934.79936852078,57009465.10931344
50,203400.3008295908,202.5363108425105,34790.196144085756,17691.897766662958,14124.267017400276,76679.76935445804,39670.02400817564,56958521.79038861
51,234753.159535441,232.8979960524442,40106.4916347234,20413.858428077776,16316.676301013713,88335.79987575742,45124.2993091503,56899797.59873962
52,270868.5496579476,268.11352180252084,46214.92479909547,23545.977893750813,18842.30936692724,101798.56089170149,51409.5043356925,56832132.8413529
53,312446.3558694861,308.9241127466149,53227.79124626747,27147.785192463845,21750.657486905955,117339.19363908004,58654.12045512457,56754205.95381774
54,360283.7219168333,356.1834572099018,61270.68878204872,31286.834928889977,25098.18666231113,135268.64538471753,67005.79139563734,56664510.729292184
55,415284.3287410479,410.8731299694468,70484.28440495483,36039.31132406548,28949.126457378465,155942.52375836688,76634.07888896654,56561336.25511507
56,478470.23555722035,474.1214326085519,81024.8786263581,41490.893785621876,33376.3712552946,179766.67282613908,87734.0068327745,56442743.60150381
57,547444.2387054352,564.8867639793484,85206.26506642746,47222.87877139799,38376.23250830051,207136.18774311716,100528.29949325066,56318601.79276795
58,613279.4390601335,752.0697353045209,85337.3171864233,52052.67644754247,43568.855864013036,237935.38755752295,115247.12215195666,56196907.91381694
59,676662.3220311634,1065.5007810158017,88249.26910282124,56364.30988026066,48646.28181588495,271696.0193486232,132082.4509216701,56070314.62793838
60,741157.6674191309,1498.0298105313698,93581.54252881304,60802.70566668436,53605.01429710373,308169.63103879255,151186.58037981103,55935079.61067898
61,808672.1995565357,2036.9854902592836,100481.77785443059,65640.13062304973,58565.08289332322,347329.0085159311,172695.14709572596,55789660.44979058
