simDay,A,D,E,I1,I2,R1,R2,S
10,3.55534557483097e-05,5.425135469696343e-09,9.418581382704486e-06,3.993509388050251e-06,2.0359808511040573e-06,6.099449230172452e-06,8.121992993694844e-07,0.9999420813989647
11,4.555598488749994e-05,8.883600785150907e-09,1.1439959626686232e-05,4.944558171959673e-06,2.751829055968647e-06,8.703605083804841e-06,1.3013840597305115e-06,0.9999252937955135
12,5.712729826278837e-05,1.3713580878959129e-08,1.3769086605155049e-05,6.008853565057946e-06,3.598626666775998e-06,1.1974086862653786e-05,1.984693561608444e-06,0.9999055236408952
13,7.10492716688652e-05,2.0194181270559377e-08,1.5555832111681076e-05,7.312062317127225e-06,4.5681699977854825e-06,1.597813802568504e-05,2.911564840850049e-06,0.9998826047668566
14,8.659071966582237e-05,2.8642000963150926e-08,1.8125322933111387e-05,8.701115673587943e-06,5.698961804348262e-06,2.084534333564016e-05,4.133668192198172e-06,0.9998558762263942
15,0.0001040773362924701,3.9372522950632393e-08,2.1227570331852853e-05,1.021423500017942e-05,7.000684179229503e-06,2.6675983903154704e-05,5.7113193024213606e-06,0.9998250534984677
16,0.00012408985596954277,5.271380472567889e-08,2.4397104427396564e-05,1.1937922257249573e-05,8.472379804404093e-06,3.356348492821922e-05,7.712384889694323e-06,0.9997897741539186
17,0.00014708552685671058,6.90316598307895e-08,2.6117973622837935e-05,1.3937076605943727e-05,1.0115918357182898e-05,4.160320721106286e-05,1.0211600269215559e-05,0.9997508596654172
18,0.0001712304744758926,8.870227798234824e-08,3.006014588787527e-05,1.587336843251846e-05,1.1976159228984998e-05,5.095179008780017e-05,1.3288907876557551e-05,0.9997065304517323
19,0.00019856913722983066,1.1209114965566703e-07,3.4484715000224985e-05,1.8088385144682237e-05,1.4028356411792668e-05,6.167427942897958e-05,1.7033553571374844e-05,0.9996560094820636
20,0.00022975950932864608,1.395922470678565e-07,3.950629578477498e-05,2.065460171168549e-05,1.630858755417546e-05,7.392685778275719e-05,2.153986687983402e-05,0.9995981646887107
21,0.0002654303040723445,1.7162448057029087e-07,4.557868378759152e-05,2.361956789392926e-05,1.887411411487615e-05,8.79432874292973e-05,2.692304048693029e-05,0.9995314593777342
22,0.0003064956317946847,2.08670814831613e-07,5.263945816032829e-05,2.707602435154883e-05,2.1782733498351957e-05,0.00010396763654558771,3.330418293772511e-05,0.999454525661897
23,0.00035403456869914743,2.5130250598424626e-07,6.0568898390424594e-05,3.1133535733358095e-05,2.5098415831155265e-05,0.0001223061795056181,4.082918249194705e-05,0.9993657779168421
24,0.00040875414059900417,3.0021951571551283e-07,6.991840798854809e-05,3.582191643497569e-05,2.8907305883455846e-05,0.0001433322581293376,4.9664827529210044e-05,0.9992633009239197
25,0.0004718149546404367,3.5624163659385705e-07,8.085170074693237e-05,4.124095546663883e-05,3.329414646837893e-05,0.000167464966613078,6.000352330447137e-05,0.9991449735111234
26,0.0005447736924121808,4.203408508566749e-07,9.326691433108453e-05,4.754733282498128e-05,3.834736508129157e-05,0.00019517911865235448,7.206745115552421e-05,0.9990083977846915
27,0.0006289154847973062,4.936747238916501e-07,0.00010770320533761827,5.482945226419978e-05,4.41819031257466e-05,0.00022704171720770553,8.611193897797888e-05,0.9988507226235654
28,0.000726076593357895,5.776163713771027e-07,0.00012435102917898237,6.325330473682591e-05,5.091985744548782e-05,0.00026370217295711954,0.00010243615262419398,0.998668683273328
29,0.0008382840114718521,6.737720686565102e-07,0.0001435396180161473,7.299472107220981e-05,5.870319877871479e-05,0.0003059117999094852,0.00012138499762745576,0.9984585078810556
30,0.0009678025497424025,7.840113936768319e-07,0.00016573436369790253,8.424388712020588e-05,6.76967942537243e-05,0.0003545387908354091,0.00014335644362783106,0.9982158431593288
31,0.0011173402478657226,9.104982439995496e-07,0.00019133241779058612,9.723909406079829e-05,7.80862235371911e-05,0.0004105776511697285,0.00016880920489576506,0.9979357046624362
32,0.0012899587632736894,1.0557479446432768e-06,0.00022087136118007552,0.00011224380614958092,9.008725816265378e-05,0.0004751798481020562,0.00019827416958565977,0.9976123290456015
33,0.0014886061548268176,1.2227322819803429e-06,0.00024984363557837,0.00012945870016066682,0.00010395753565722827,0.0005497093434171641,0.0002323745203095294,0.9972448273777682
34,0.001662309289359113,1.4147712003417597e-06,0.00020836751824702444,0.0001409991543794423,0.0001190117447471151,0.0006340336256731677,0.0002717298214333239,0.9969621340749604
35,0.0018076778624665966,1.6347344363285268e-06,0.00021530909811774552,0.00014747821822467367,0.00013371353106978056,0.0007254672473335632,0.00031692648550367826,0.9966517928228471
36,0.0019571525359549907,1.883637461944919e-06,0.00023219204341401,0.00015451092434639506,0.00014772855826832433,0.0008228576425125054,0.00036838597780103897,0.996315288680241
37,0.0021181737635815614,2.16109598926718e-06,0.0002510440058861386,0.00016314189587560195,0.00016138441612669897,0.0009262269769532453,0.0004265009475132253,0.9959513668980744
38,0.0022919162055666394,2.4659350401395805e-06,0.00027166596745603925,0.00017329494731884535,0.00017511243535067985,0.001035953639637906,0.000491665973605279,0.9955579248960243
39,0.002479872761386896,2.797395291668223e-06,0.00029371081128938976,0.0001849950187789633,0.00018921844027464314,0.0011525573454129092,0.0005643269353772828,0.9951325212921885
