simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
100,5152629.672300914,79221.61474110032,371263.77959526714,353854.62707638607,398088.3661108121,3713819.6088102935,3254089.3897312493,44022113.7234538
101,5286998.845656177,83808.03639411039,370525.31060239323,358179.3763822129,408515.3582841652,3881255.8080399595,3461385.6624339065,43494412.38402691
102,5412961.83247804,88512.93898381712,368076.5405962253,361619.0048546665,418159.55875289167,4048588.6860570447,3676772.683568264,42970389.53652885
103,5529427.919882402,93328.41077452652,364651.2197078705,364075.0934845642,426959.12970361783,4215205.834584332,3900108.2030788492,42451324.970603645
104,5635523.0184074715,98245.32869456829,361019.6407348347,365488.0622322428,434857.2641436448,4380479.4323119195,4131200.1096980097,41938267.92559711
105,5731879.895961958,103248.94240017424,355548.353289265,366048.2834995586,441791.3171474495,4543757.337133526,4369827.968739378,41432978.68364848
106,5816841.760953537,108332.35448311853,350430.43480704905,365539.73867135745,447739.3778612786,4704474.886470563,4615733.875209126,40935988.3533638
107,5891754.833876944,113478.87677037415,343037.2771377299,364247.17921580403,452657.2580755247,4862026.457580019,4868642.413132771,40449236.486030646
108,5954986.837677996,118680.45438378515,335716.2216425694,361945.737527083,456540.47041103145,5015888.32842967,5128228.882066623,39973093.84968106
109,6006818.474465918,123922.99363889809,328155.6891522737,358738.7383859154,459367.84948953893,5165508.332151523,5394135.067999978,39508433.63653576
110,6048128.493499656,129190.21144725342,319191.6739049515,354819.10762431705,461126.9594343622,5310367.269988651,5665979.28422048,39056277.781700134
111,6077779.645324605,134475.1682851963,310897.35187985614,350015.5072982932,461842.92164168635,5450062.059041178,5943360.789270222,38616647.339078754
112,6097356.229443225,139758.6044817841,301232.53888585547,344623.9144997426,461517.6913117528,5584144.529240898,6225854.313449409,38190592.96050714
113,6105943.420915157,145034.51453744876,292032.9220387213,338488.55346529506,460194.34851344663,5712318.079597311,6513031.330587416,37778037.612165004
114,6104661.83127819,150285.6471174443,282094.4804320198,331808.56591824786,457896.0004806374,5834246.122426882,6804439.922117812,37379648.212048575
115,6093524.255877403,155502.48097953503,272043.6181820907,324581.367320896,454663.5106150803,5949685.48818814,7099623.181903637,36995456.87875306
116,6072701.475779449,160675.40028658317,262460.8555024305,316829.8932479473,450540.2037695835,6058423.486287448,7398105.935179402,36625343.531766966
117,6043410.105878593,165788.72740133875,252183.51836814874,308747.04674525233,445567.7360435335,6160275.883031285,7699419.724384118,36269688.039967544
118,6005368.834413057,170838.78734117642,242623.1135257295,300260.40523928375,439807.2516379232,6255156.97858924,8003088.326206449,35927937.08486696
119,5959830.059391007,175810.55912548516,232491.35539913079,291552.4407624188,433312.3613683283,6342993.652624402,8308658.930356462,35600431.4227926
120,5906696.3316232255,180700.07043495742,222853.2959882515,282573.9953513147,426146.1468570495,6423781.407983673,8615667.897659257,35286661.63592208
121,5846718.02419728,185497.7282456797,213360.12462075916,273417.62018413236,418365.9447573967,6497533.656169312,8923668.436890429,34986519.24675481
122,5780628.742097949,190194.99806052042,203798.2983195754,264173.10830341274,410028.5124641281,6564287.450360268,9232212.720552463,34699756.95166152
123,5708544.037036057,194789.78365155333,194913.8693726175,254817.94311740954,401197.6459902414,6624146.0017702645,9540868.188269014,34425803.31261267
124,5631515.966494609,199271.45435119446,185874.81322843008,245488.39416970903,391931.97806473495,6677211.628993323,9849220.326148814,34164566.220369
125,5549589.417863008,203640.79547019998,177374.64567803591,236143.52640712468,382293.21788389166,6723669.7007388845,10156887.534357084,33915481.943421595
126,5463561.11878513,207890.20911349912,168925.6616290184,226873.62199577567,372338.6106575071,6763680.211167518,10463490.455035329,33678320.89343604
127,5373751.063093537,212018.1498219015,160762.70480479876,217686.94937481155,362122.99928239506,6797443.654045438,10768673.573237592,33452621.68815933
128,5280514.050945755,216023.47194798655,153111.2027423943,208598.94699017468,351698.21608337417,6825164.5609143935,11072089.17726823,33237881.1549275
129,5184595.014711202,219900.80267910508,145475.7948901574,199690.64978469614,341113.7671493911,6847056.82291457,11373418.385011386,33033829.54467931
